00:00:04.16 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: linear_array_write cores: 4 core: 2 cycle_count:      4003686 iteration: 6 offset: 0
00:00:04.16 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: linear_array_write cores: 4 core: 1 cycle_count:      3994504 iteration: 6 offset: 0
00:00:04.79 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: linear_array_write cores: 4 core: 3 cycle_count:      3744631 iteration: 7 offset: 0
00:00:04.81 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: sdvbs_stitch cores: 4 core: 0 cycle_count:     29176134 iteration: 7 offset: 0
00:00:04.79 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: linear_array_write cores: 4 core: 2 cycle_count:      3757836 iteration: 7 offset: 0
00:00:04.79 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: linear_array_write cores: 4 core: 1 cycle_count:      3749149 iteration: 7 offset: 0
00:00:05.43 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: linear_array_write cores: 4 core: 1 cycle_count:      4914333 iteration: 8 offset: 0
00:00:05.43 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: linear_array_write cores: 4 core: 3 cycle_count:      5090984 iteration: 8 offset: 0
00:00:05.45 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: sdvbs_stitch cores: 4 core: 0 cycle_count:     29800890 iteration: 8 offset: 0
00:00:05.43 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: linear_array_write cores: 4 core: 2 cycle_count:      5098315 iteration: 8 offset: 0
00:00:06.08 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: linear_array_write cores: 4 core: 3 cycle_count:      3877983 iteration: 9 offset: 0
00:00:06.10 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: sdvbs_stitch cores: 4 core: 0 cycle_count:     29384254 iteration: 9 offset: 0
00:00:06.08 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: linear_array_write cores: 4 core: 2 cycle_count:      3894591 iteration: 9 offset: 0
00:00:06.08 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: linear_array_write cores: 4 core: 1 cycle_count:      3887782 iteration: 9 offset: 0
00:00:06.72 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: linear_array_write cores: 4 core: 3 cycle_count:      3773602 iteration: 10 offset: 0
00:00:06.74 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: sdvbs_stitch cores: 4 core: 0 cycle_count:     29532126 iteration: 10 offset: 0
00:00:06.72 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: linear_array_write cores: 4 core: 2 cycle_count:      3782075 iteration: 10 offset: 0
00:00:06.72 CoRunners: CYCLECOUNT label: CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 config_series: '3111' config_benchmarks: '4222' benchmark: linear_array_write cores: 4 core: 1 cycle_count:      3786366 iteration: 10 offset: 0
