benchmark confidence_hi confidence_lo cores inputsize label label1core mean mean1core median offset slowdown slowdown_wcet stdev wcet wcet1core
sdvbsdisparity 4682259.102040816 4651838.285714285 2.0 96 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK1_INPUTSIZE96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 4667209.265306123 3503343.0204081633 4672604.0 0.0 1.3322158972495821 1.3376168742339116 55612.43911653815 4796139.0 3585585.0
sdvbsdisparity 4624590.0 4617793.0 2.0 96 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK1_INPUTSIZE96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 4624590.0 3503343.0204081633 4624590.0 1.0 1.3200505839879773 1.2916684446192184 9612.409583449928 4631387.0 3585585.0
sdvbsdisparity 6101782.469387755 6059608.571428572 3.0 96 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK1_INPUTSIZE96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 6081496.408163265 3503343.0204081633 6098374.0 0.0 1.7359123479306715 1.738436545222049 76387.26255238244 6233312.0 3585585.0
sdvbsdisparity 5876423.0 5869706.0 3.0 96 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK1_INPUTSIZE96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 5876423.0 3503343.0204081633 5876423.0 1.0 1.6773758566511585 1.6407754940965003 9499.272498460079 5883140.0 3585585.0
sdvbsdisparity 7101923.489795919 7035406.693877551 4.0 96 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK1_INPUTSIZE96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 7070270.020408163 3503343.0204081633 7106544.0 0.0 2.0181495158257237 2.0228721394137916 119269.40601559154 7253180.0 3585585.0
sdvbsdisparity 6849537.0 6801369.0 4.0 96 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK1_INPUTSIZE96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 6849537.0 3503343.0204081633 6849537.0 1.0 1.9551431190434736 1.923732110659767 68119.83887238725 6897705.0 3585585.0
sdvbsdisparity 10582092.877551021 10558975.448979592 2.0 128 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK1_INPUTSIZE128 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE128 10568628.18367347 7156969.224489796 10565377.0 0.0 1.47669046102778 1.4860922086456214 40554.55197461044 10751143.0 7234506.0
sdvbsdisparity 10467549.0 10455826.0 2.0 128 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK1_INPUTSIZE128 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE128 10467549.0 7156969.224489796 10467549.0 1.0 1.4625672783644263 1.4485124485348413 16578.825591699795 10479272.0 7234506.0
sdvbsdisparity 14344767.632653061 14309540.673469387 3.0 128 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK1_INPUTSIZE128 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE128 14324743.18367347 7156969.224489796 14319476.0 0.0 2.0015096801949217 2.011933641357129 62082.830944054214 14555346.0 7234506.0
sdvbsdisparity 14186271.0 14169385.0 3.0 128 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK1_INPUTSIZE128 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE128 14186271.0 7156969.224489796 14186271.0 1.0 1.9821617999218526 1.9632518101443277 23880.410214232084 14203157.0 7234506.0
sdvbsdisparity 17014675.36734694 16949956.91836735 4.0 128 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK1_INPUTSIZE128 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE128 16980598.14285714 7156969.224489796 16961665.0 0.0 2.3725962219807712 2.384598340232215 114783.74905229344 17251391.0 7234506.0
sdvbsdisparity 16773067.0 16748398.0 4.0 128 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK1_INPUTSIZE128 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE128 16773067.0 7156969.224489796 16773067.0 1.0 2.343599151244878 2.3218912251921555 34887.23437018188 16797736.0 7234506.0
sdvbsdisparity 13976797.163265307 13896530.673469387 2.0 160 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK1_INPUTSIZE160 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE160 13939420.448979592 10098204.469387755 13946575.0 0.0 1.3803860370659267 1.397897829501061 145525.7568858882 14423247.0 10317812.0
sdvbsdisparity 13902978.5 13892410.0 2.0 160 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK1_INPUTSIZE160 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE160 13902978.5 10098204.469387755 13902978.5 1.0 1.3767772817579842 1.3484978210496565 14946.116033940056 13913547.0 10317812.0
sdvbsdisparity 19679118.81632653 19570849.326530613 3.0 160 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK1_INPUTSIZE160 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE160 19618635.12244898 10098204.469387755 19616626.0 0.0 1.942784500147722 1.9804697934019344 191643.8627917286 20434115.0 10317812.0
sdvbsdisparity 19130938.5 19114425.0 3.0 160 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK1_INPUTSIZE160 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE160 19130938.5 10098204.469387755 19130938.5 1.0 1.8944891201197762 1.8557667071274413 23353.615662248107 19147452.0 10317812.0
sdvbsdisparity 23979428.714285713 23799585.979591835 4.0 160 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK1_INPUTSIZE160 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE160 23896438.102040816 10098204.469387755 23950796.0 0.0 2.366404658816503 2.367353466025549 321583.0038716837 24425908.0 10317812.0
sdvbsdisparity 24014099.5 24013840.0 4.0 160 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK1_INPUTSIZE160 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE160 24014099.5 10098204.469387755 24014099.5 1.0 2.3780563735659785 2.3274662302433886 366.9884194358182 24014359.0 10317812.0
sdvbsdisparity 21477952.326530613 21315298.897959184 2.0 192 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK1_INPUTSIZE192 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE192 21375253.204081632 16838087.653061226 21361184.0 0.0 1.2694584827271362 1.2521833989220352 273009.33475653786 22810464.0 18216552.0
sdvbsdisparity 21477636.0 21470567.0 2.0 192 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK1_INPUTSIZE192 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE192 21477636.0 16838087.653061226 21477636.0 1.0 1.2755389116943625 1.179405685554544 9997.075672415409 21484705.0 18216552.0
sdvbsdisparity 28024228.265306123 27853333.55102041 3.0 192 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK1_INPUTSIZE192 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE192 27917752.91836735 16838087.653061226 27907556.0 0.0 1.658012091016274 1.614908188992077 295050.24725755246 29418059.0 18216552.0
sdvbsdisparity 27927696.0 27896118.0 3.0 192 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK1_INPUTSIZE192 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE192 27927696.0 16838087.653061226 27927696.0 1.0 1.6586026023520932 1.5348279959895814 44658.0358726176 27959274.0 18216552.0
sdvbsdisparity 35292813.91836735 35132518.653061226 4.0 192 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK1_INPUTSIZE192 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE192 35181191.0 16838087.653061226 35148293.0 0.0 2.089381628418114 2.006079855287653 250500.70399634968 36543858.0 18216552.0
sdvbsdisparity 35090674.5 35080171.0 4.0 192 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK1_INPUTSIZE192 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE192 35090674.5 16838087.653061226 35090674.5 1.0 2.084005928881145 1.9268837483624783 14854.192152385804 35101178.0 18216552.0
sdvbsdisparity 465032.8367346939 461177.5714285714 2.0 32 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK2_INPUTSIZE32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 463181.02040816325 444268.0816326531 464063.0 0.0 1.0425710051147643 1.0263019327772631 6947.884622584165 477527.0 465289.0
sdvbsdisparity 458099.5 457642.0 2.0 32 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK2_INPUTSIZE32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 458099.5 444268.0816326531 458099.5 1.0 1.0311330454272507 0.985531572850422 647.002704785691 458557.0 465289.0
sdvbsdisparity 529030.125 513831.675 3.0 32 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK2_INPUTSIZE32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 521388.375 444268.0816326531 520924.0 0.0 1.1735895432414039 1.2253309233616096 24628.341393176415 570133.0 465289.0
sdvbsdisparity 665198.2702702703 641226.3783783783 4.0 32 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK2_INPUTSIZE32 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE32 654778.5945945946 444268.0816326531 671508.0 0.0 1.4738366802952185 1.5027799926497296 37832.65983722078 699227.0 465289.0
sdvbsdisparity 1694462.224489796 1685929.224489796 2.0 64 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK2_INPUTSIZE64 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE64 1689252.9387755103 1569379.3469387756 1687407.0 0.0 1.0763828019468713 1.087808704894918 14720.967945994766 1758235.0 1616309.0
sdvbsdisparity 1687483.5 1686907.0 2.0 64 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK2_INPUTSIZE64 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE64 1687483.5 1569379.3469387756 1687483.5 1.0 1.075255325165071 1.0443918829877208 815.2941187080893 1688060.0 1616309.0
sdvbsdisparity 1924276.8163265307 1892888.142857143 3.0 64 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK2_INPUTSIZE64 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE64 1907049.9387755103 1569379.3469387756 1883942.0 0.0 1.215161867967355 1.2436897895142576 55431.73479132095 2010187.0 1616309.0
sdvbsdisparity 1851051.0 1729380.0 3.0 64 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK2_INPUTSIZE64 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE64 1851051.0 1569379.3469387756 1851051.0 1.0 1.1794796481874519 1.2205104345765567 172068.77834749685 1972722.0 1616309.0
sdvbsdisparity 2266429.714285714 2114435.1428571427 4.0 64 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK2_INPUTSIZE64 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE64 2169842.285714286 1569379.3469387756 2123314.0 0.0 1.3826117247858338 1.4624084874859944 102879.3531306035 2363704.0 1616309.0
sdvbsdisparity 3906087.2040816327 3889104.4693877553 2.0 96 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK2_INPUTSIZE96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 3897179.224489796 3503343.0204081633 3895166.0 0.0 1.1124172545444175 1.1114289578966892 30394.56145655106 3985123.0 3585585.0
sdvbsdisparity 3898640.0 3894670.0 2.0 96 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK2_INPUTSIZE96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 3898640.0 3503343.0204081633 3898640.0 1.0 1.1128342207112172 1.088416534540389 5614.427842621188 3902610.0 3585585.0
sdvbsdisparity 4611287.69117647 4574688.911764706 3.0 96 CIRCLE_PI4_BENCH_DISPARITY_CORES3_64MB_READATTACK2_INPUTSIZE96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 4591799.955882353 3503343.0204081633 4589021.0 0.0 1.3106909398062245 1.3486295820626202 78369.44579389849 4835626.0 3585585.0
sdvbsdisparity 5942703.684210527 5771411.5 4.0 96 CIRCLE_PI4_BENCH_DISPARITY_CORES4_64MB_READATTACK2_INPUTSIZE96 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE96 5853996.315789473 3503343.0204081633 5752903.5 0.0 1.6709743469845675 1.8157762261946098 273943.053202087 6510620.0 3585585.0
sdvbsdisparity 7795428.408163265 7773935.734693877 2.0 128 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK2_INPUTSIZE128 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE128 7784641.9387755105 7156969.224489796 7785916.0 0.0 1.0877009100637092 1.0980716582445298 38888.34019632809 7944006.0 7234506.0
sdvbsdisparity 7811391.0 7797880.0 2.0 128 CIRCLE_PI4_BENCH_DISPARITY_CORES2_64MB_READATTACK2_INPUTSIZE128 CIRCLE_PI4_BENCH_DISPARITY_CORES1_INPUTSIZE128 7811391.0 7156969.224489796 7811391.0 1.0 1.0914383945191348 1.0816083364918074 19107.439441222887 7824902.0 7234506.0
