benchmark confidence_hi confidence_lo cores inputsize label label1core mean mean1core median offset slowdown slowdown_wcet stdev wcet wcet1core
sdvbsstitch 29944597.44897959 29752635.863945577 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 29850881.285714287 29526844.224489797 29883822.0 0.0 1.0109743208167072 1.015143279224693 598328.3482968099 31335527.0 30868083.0
sdvbsstitch 30619540.4296875 30409847.296875 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 30513072.4609375 29526844.224489797 30433361.0 1.0 1.0334010715452522 1.0608401564813728 606323.3213335339 32746102.0 30868083.0
sdvbsstitch 30832700.16 30552295.62 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 30692935.02 29526844.224489797 30700992.0 2.0 1.0394925643473623 1.0513208092643784 719047.1650358832 32452258.0 30868083.0
sdvbsstitch 31238407.58 30992608.04 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 31108437.46 29526844.224489797 31064420.5 3.0 1.0535645876506645 1.0700439674209765 632529.5374574288 33030206.0 30868083.0
sdvbsstitch 31463191.739130434 31215325.597826086 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 31335541.467391305 29526844.224489797 31251968.5 4.0 1.061256029569234 1.0789625646659042 602565.0416474859 33305506.0 30868083.0
sdvbsstitch 30536599.56 30177846.46 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 30353904.08 29526844.224489797 30292391.0 5.0 1.0280104385427087 1.0255293145350166 646983.1959450408 31656124.0 30868083.0
sdvbsstitch 30098348.3 29794314.62 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 29939608.64 29526844.224489797 29837021.0 6.0 1.013979293295687 1.0136790807514675 563881.2710930381 31290330.0 30868083.0
sdvbsstitch 29914184.06 29559238.58 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 29741091.38 29526844.224489797 29753918.5 7.0 1.0072560126602526 1.0053349927820268 654148.7838592425 31032764.0 30868083.0
sdvbsstitch 29962226.3 29642367.8 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 29803046.7 29526844.224489797 29785168.5 8.0 1.0093542836278155 1.0144443372139436 583502.7253213814 31313952.0 30868083.0
sdvbsstitch 29909793.82 29527025.46 4.0 100 CIRCLE_PI4_BENCH_SDVBS_STITCH_CORES4_MEMORYPROFILE_INPUTSIZE100 CIRCLE_PI4_BENCH_STITCH_CORES1_INPUTSIZE100 29719669.16 29526844.224489797 29702363.0 9.0 1.006530495912268 1.0123754688621254 700519.1145292103 31250090.0 30868083.0
