benchmark confidence_hi confidence_lo cores inputsize label label1core mean mean1core median offset slowdown slowdown_wcet stdev wcet wcet1core
malardalenmatmult 56224.22448979592 56058.77551020408 1.0 20 XRTOS_PI3_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 XRTOS_PI3_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 56122.489795918365 56122.489795918365 56003.0 0.0 1.0 1.0 282.5212471692004 56975.0 56975.0
malardalenmatmult 806840.1428571428 806071.8571428572 1.0 50 XRTOS_PI3_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 XRTOS_PI3_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 806439.4081632653 806439.4081632653 806158.0 0.0 1.0 1.0 1407.5841585018616 810616.0 810616.0
malardalenmatmult 3260399.0204081633 3258860.7346938774 1.0 80 XRTOS_PI3_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 XRTOS_PI3_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 3259601.448979592 3259601.448979592 3259789.0 0.0 1.0 1.0 2817.797788619911 3266612.0 3266612.0
malardalenmatmult 4926688.591836735 4925620.653061224 1.0 90 XRTOS_PI3_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE90 XRTOS_PI3_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE90 4926132.795918368 4926132.795918368 4925927.0 0.0 1.0 1.0 1958.2964107822959 4931391.0 4931391.0
malardalenmatmult 7249879.959183673 7248098.775510204 1.0 100 XRTOS_PI3_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 XRTOS_PI3_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 7248967.816326531 7248967.816326531 7248881.0 0.0 1.0 1.0 3270.8709191479456 7258345.0 7258345.0
malardalenmatmult 9647278.877551021 9645736.979591837 1.0 110 XRTOS_PI3_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE110 XRTOS_PI3_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE110 9646546.530612245 9646546.530612245 9646868.0 0.0 1.0 1.0 2794.516260330428 9652273.0 9652273.0
malardalenmatmult 13133675.0 13129000.24489796 1.0 120 XRTOS_PI3_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE120 XRTOS_PI3_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE120 13131313.24489796 13131313.24489796 13130976.0 0.0 1.0 1.0 8499.931606417485 13146703.0 13146703.0
malardalenmatmult 26831821.755102042 26827064.102040816 1.0 150 XRTOS_PI3_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE150 XRTOS_PI3_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE150 26829567.591836736 26829567.591836736 26829918.0 0.0 1.0 1.0 8587.794735161957 26847042.0 26847042.0
