benchmark confidence_hi confidence_lo cores inputsize label label1core mean mean1core median offset slowdown slowdown_wcet stdev wcet wcet1core
sdvbsdisparity 671140.1428571428 669857.8163265307 1.0 32 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE32 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE32 670501.8979591837 670501.8979591837 670584.0 0.0 1.0 1.0 2350.284781014995 674779.0 674779.0
sdvbsdisparity 2470775.2653061226 2467944.3061224488 1.0 64 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE64 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE64 2469333.2448979593 2469333.2448979593 2469422.0 0.0 1.0 1.0 5082.116412523496 2482025.0 2482025.0
sdvbsdisparity 5537359.346938776 5532749.87755102 1.0 96 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE96 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE96 5535023.244897959 5535023.244897959 5534798.0 0.0 1.0 1.0 8222.73272076316 5553525.0 5553525.0
sdvbsdisparity 10148903.081632653 10140732.346938776 1.0 128 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE128 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE128 10144793.693877552 10144793.693877552 10143117.0 0.0 1.0 1.0 15111.409776230324 10173967.0 10173967.0
sdvbsdisparity 17205087.81632653 17173311.775510203 1.0 160 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE160 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE160 17188466.63265306 17188466.63265306 17185353.0 0.0 1.0 1.0 58204.051387730586 17329479.0 17329479.0
sdvbsdisparity 25278380.51020408 25233736.265306123 1.0 192 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE192 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE192 25254902.63265306 25254902.63265306 25251531.0 0.0 1.0 1.0 81481.67433915804 25411431.0 25411431.0
sdvbsdisparity 677728.4081632653 676273.4693877551 2.0 32 XRTOS_PI3_BENCH_DISPARITY_CORES2_READATTACK1_INPUTSIZE32 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE32 676941.9795918367 670501.8979591837 676851.0 0.0 1.009604867118579 1.0162957057051272 2594.892101881728 685775.0 674779.0
sdvbsdisparity 677533.0 671488.0 2.0 32 XRTOS_PI3_BENCH_DISPARITY_CORES2_READATTACK1_INPUTSIZE32 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE32 674821.6666666666 670501.8979591837 673355.0 1.0 1.0064425898280542 1.0071771646716925 4260.730258222555 679622.0 674779.0
sdvbsdisparity 696176.7551020408 694237.5714285715 3.0 32 XRTOS_PI3_BENCH_DISPARITY_CORES3_READATTACK1_INPUTSIZE32 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE32 695174.081632653 670501.8979591837 694797.0 0.0 1.0367965903580056 1.0411586608356218 3518.2137266702016 702552.0 674779.0
sdvbsdisparity 697651.0 693911.0 3.0 32 XRTOS_PI3_BENCH_DISPARITY_CORES3_READATTACK1_INPUTSIZE32 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE32 697651.0 670501.8979591837 697651.0 1.0 1.0404907161686647 1.0394380975104442 5289.158723275375 701391.0 674779.0
sdvbsdisparity 743792.0204081633 739357.1632653062 4.0 32 XRTOS_PI3_BENCH_DISPARITY_CORES4_READATTACK1_INPUTSIZE32 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE32 741523.1224489796 670501.8979591837 742115.0 0.0 1.1059224809146169 1.130263389939521 8031.522652006526 762678.0 674779.0
sdvbsdisparity 745212.3333333334 738043.0 4.0 32 XRTOS_PI3_BENCH_DISPARITY_CORES4_READATTACK1_INPUTSIZE32 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE32 742199.6666666666 670501.8979591837 741475.0 1.0 1.10693149255164 1.1071491555012827 4562.3697059021 747081.0 674779.0
sdvbsdisparity 2577631.4897959186 2573367.93877551 2.0 64 XRTOS_PI3_BENCH_DISPARITY_CORES2_READATTACK1_INPUTSIZE64 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE64 2575286.7959183673 2469333.2448979593 2574384.0 0.0 1.0429077570794971 1.0482283619222208 7576.055160227939 2601729.0 2482025.0
sdvbsdisparity 2577355.8 2564253.0 2.0 64 XRTOS_PI3_BENCH_DISPARITY_CORES2_READATTACK1_INPUTSIZE64 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE64 2570368.6 2469333.2448979593 2569187.0 1.0 1.0409160469980292 1.0403944359948025 8177.2559456090985 2582285.0 2482025.0
sdvbsdisparity 2775715.448979592 2766188.0816326533 3.0 64 XRTOS_PI3_BENCH_DISPARITY_CORES3_READATTACK1_INPUTSIZE64 XRTOS_PI3_BENCH_DISPARITY_CORES1_INPUTSIZE64 2770833.93877551 2469333.2448979593 2770427.0 0.0 1.1220980175521063 1.1320619252424935 17398.63647963086 2809806.0 2482025.0
