benchmark confidence_hi confidence_lo cores inputsize label label1core mean mean1core median offset slowdown slowdown_wcet stdev wcet wcet1core
malardalenmatmult 21417.79591836735 20773.85714285714 1.0 20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE20 20904.20408163265 20904.20408163265 20781.0 0.0 1.0 1.0 831.8564825034385 26512.0 26512.0
malardalenmatmult 310677.85714285716 309938.0612244898 1.0 50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE50 310281.44897959183 310281.44897959183 310047.0 0.0 1.0 1.0 1323.6678847874591 313813.0 313813.0
malardalenmatmult 1671461.918367347 1670492.775510204 1.0 80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 1670989.3469387756 1670989.3469387756 1670872.0 0.0 1.0 1.0 1715.2398344329606 1674035.0 1674035.0
malardalenmatmult 2376506.0204081633 2373029.0 1.0 90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE90 2375243.6530612246 2375243.6530612246 2376256.0 0.0 1.0 1.0 5825.7127981298445 2383600.0 2383600.0
malardalenmatmult 4726414.285714285 4723974.489795919 1.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 4725120.448979592 4725120.448979592 4724764.0 0.0 1.0 1.0 4382.838340529754 4737490.0 4737490.0
malardalenmatmult 4245943.795918368 4244362.489795919 1.0 110 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE110 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE110 4245208.1632653065 4245208.1632653065 4245689.0 0.0 1.0 1.0 2825.7840899100574 4250745.0 4250745.0
malardalenmatmult 5651529.081632653 5649438.3877551025 1.0 120 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE120 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE120 5650474.755102041 5650474.755102041 5650344.0 0.0 1.0 1.0 3775.8029307829793 5658527.0 5658527.0
malardalenmatmult 10745811.75510204 10742052.24489796 1.0 150 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE150 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE150 10743598.857142856 10743598.857142856 10742402.0 0.0 1.0 1.0 6556.742827044781 10767679.0 10767679.0
malardalenmatmult 6351365.102040816 6341119.285714285 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6346023.306122449 4725120.448979592 6346941.0 0.0 1.3430394790238411 1.3513381558589042 18643.540347132795 6401951.0 4737490.0
malardalenmatmult 6195748.38 6185377.06 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6190445.16 4725120.448979592 6190775.5 1.0 1.310113726590155 1.3159962342928428 18499.765645906533 6234519.0 4737490.0
malardalenmatmult 6035761.42 6027634.9 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6031606.22 4725120.448979592 6028049.0 2.0 1.2764978766419697 1.2795037034378964 14874.912220341355 6061636.0 4737490.0
malardalenmatmult 5871579.34 5862824.8 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5867196.48 4725120.448979592 5866454.5 3.0 1.2417030514570362 1.2467211540288212 15990.673801376723 5906329.0 4737490.0
malardalenmatmult 5714682.34 5708111.74 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5711384.42 4725120.448979592 5711740.5 4.0 1.2087277947027564 1.2107168563944197 12013.004382309507 5735759.0 4737490.0
malardalenmatmult 5554593.12 5547393.38 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5550982.78 4725120.448979592 5550443.0 5.0 1.1747812230265489 1.1774179998269125 13136.148210482308 5578006.0 4737490.0
malardalenmatmult 5399422.6 5392051.26 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5395742.8 4725120.448979592 5397282.5 6.0 1.1419270383181939 1.1475013139869426 13560.419170572412 5436276.0 4737490.0
malardalenmatmult 5243612.88 5238806.0 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5241305.54 4725120.448979592 5241702.0 7.0 1.1092427371098825 1.1101410240443779 8994.952807467738 5259282.0 4737490.0
malardalenmatmult 5085622.42 5080660.22 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5083009.72 4725120.448979592 5082401.0 8.0 1.0757418302633313 1.0771421153395575 8979.803070519385 5102950.0 4737490.0
malardalenmatmult 4927195.54 4922735.26 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 4924887.76 4725120.448979592 4925505.0 9.0 1.0422777182460075 1.0430812518865475 8138.171294759981 4941587.0 4737490.0
malardalenmatmult 4735837.6 4732453.54 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 4734021.3 4725120.448979592 4733286.0 10.0 1.0018837299739798 1.0032130938534962 6084.472506608189 4752712.0 4737490.0
malardalenmatmult 4731944.56 4729786.78 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 4730862.2 4725120.448979592 4730745.5 11.0 1.0012151544246133 1.0002212141872595 3980.928801479167 4738538.0 4737490.0
malardalenmatmult 4732097.8 4728208.6 2.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES2_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 4730153.2 4725120.448979592 4730307.0 12.0 1.0010651053395887 0.999141528530931 2540.4419300586483 4733423.0 4737490.0
malardalenmatmult 7167872.489795919 7139737.897959184 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 7154459.244897959 4725120.448979592 7158668.0 0.0 1.5141326707222864 1.5259626933249464 50497.12798455749 7229233.0 4737490.0
malardalenmatmult 6832116.88 6809838.24 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6821027.08 4725120.448979592 6824252.0 1.0 1.4435668156296475 1.4547099835566935 41267.388988301966 6891674.0 4737490.0
malardalenmatmult 6606422.66 6586108.42 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6596344.38 4725120.448979592 6594865.0 2.0 1.3960161336044896 1.4078267183677433 36522.53461312538 6669565.0 4737490.0
malardalenmatmult 6380724.48 6366806.18 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6374035.84 4725120.448979592 6376532.5 3.0 1.3489679064956952 1.354977002589979 25505.619054663723 6419190.0 4737490.0
malardalenmatmult 6149077.12 6133878.4 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 6141834.7 4725120.448979592 6145632.5 4.0 1.299826060799435 1.3111873587068257 27496.683559762507 6211737.0 4737490.0
malardalenmatmult 5910848.88 5897353.38 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5904366.38 4725120.448979592 5903226.0 5.0 1.2495694964294657 1.2562120447747647 24060.326465535807 5951292.0 4737490.0
malardalenmatmult 5674475.06 5662947.68 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5668852.48 4725120.448979592 5671359.0 6.0 1.1997265553779082 1.2071719412600344 21098.187103896344 5718965.0 4737490.0
malardalenmatmult 5446515.54 5434466.08 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5440315.42 4725120.448979592 5440194.5 7.0 1.15136015658074 1.1586821291443359 22008.11933669854 5489245.0 4737490.0
malardalenmatmult 5221872.36 5213218.32 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 5217484.08 4725120.448979592 5218713.0 8.0 1.1042012867897868 1.10747273345168 15569.173826061451 5246641.0 4737490.0
malardalenmatmult 4987088.88 4981665.8 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 4984291.04 4725120.448979592 4983097.5 9.0 1.0548495205188635 1.0580051884014532 9772.617435947788 5012289.0 4737490.0
malardalenmatmult 4750713.18 4747580.94 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 4749128.18 4725120.448979592 4748698.5 10.0 1.0050808717533524 1.005718428957106 5703.080072546382 4764581.0 4737490.0
malardalenmatmult 4740961.94 4738620.86 3.0 100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES3_WRITEATTACK1_INPUTSIZE100 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE100 4739697.3 4725120.448979592 4739024.5 11.0 1.0030849691934427 1.0034313528893992 4297.791028480832 4753746.0 4737490.0
