label cores config_series config_benchmarks offset benchmark core cycles iteration
BENCH1_8000 1 '2' '1' 0 malardalenbsort100 0 336931745 86
BENCH1_8000 1 '2' '1' 0 malardalenbsort100 0 335976842 87
BENCH1_8000 1 '2' '1' 0 malardalenbsort100 0 335679260 88
BENCH1_8000 1 '2' '1' 0 malardalenbsort100 0 334828931 89
BENCH1_8000 1 '2' '1' 0 malardalenbsort100 0 334662663 90
BENCH1_8000 1 '2' '1' 0 malardalenbsort100 0 334356596 91
BENCH1_8000 1 '2' '1' 0 malardalenbsort100 0 335274026 92
BENCH1_8000 1 '2' '1' 0 malardalenbsort100 0 335526841 93
BENCH1_8000 1 '2' '1' 0 malardalenbsort100 0 334864798 94
BENCH1_8000 1 '2' '1' 0 malardalenbsort100 0 336119941 95
BENCH1_8000 1 '2' '1' 0 malardalenbsort100 0 335643861 96
BENCH1_8000 1 '2' '1' 0 malardalenbsort100 0 334971595 97
BENCH1_8000 1 '2' '1' 0 malardalenbsort100 0 334503822 98
BENCH1_8000 1 '2' '1' 0 malardalenbsort100 0 336049920 99
BENCH1_8000 1 '2' '1' 0 malardalenbsort100 0 335920357 100
