label cores config_series config_benchmarks offset benchmark core cycles iteration
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 3 239010574 1
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 2 242501130 1
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 1 239837534 1
BENCH1444_8000 4 '2111' '1222' 0 malardalenbsort100 0 336804350 1
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 1 239281460 2
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 2 242095547 2
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 3 239153072 2
BENCH1444_8000 4 '2111' '1222' 0 malardalenbsort100 0 337716366 2
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 1 238919148 3
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 2 242291669 3
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 3 238686556 3
BENCH1444_8000 4 '2111' '1222' 0 malardalenbsort100 0 338398647 3
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 3 238623434 4
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 1 239823292 4
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 2 242388339 4
BENCH1444_8000 4 '2111' '1222' 0 malardalenbsort100 0 338097147 4
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 3 234940340 5
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 2 240642069 5
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 1 237669122 5
BENCH1444_8000 4 '2111' '1222' 0 malardalenbsort100 0 337006879 5
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 1 238979448 6
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 3 239300126 6
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 2 242255587 6
BENCH1444_8000 4 '2111' '1222' 0 malardalenbsort100 0 337536801 6
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 3 239080920 7
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 2 242341719 7
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 1 239647361 7
BENCH1444_8000 4 '2111' '1222' 0 malardalenbsort100 0 336625464 7
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 1 239057168 8
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 3 239281071 8
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 2 242191228 8
BENCH1444_8000 4 '2111' '1222' 0 malardalenbsort100 0 337556259 8
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 3 238649318 9
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 1 239479967 9
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 2 242246735 9
BENCH1444_8000 4 '2111' '1222' 0 malardalenbsort100 0 335667687 9
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 3 239256199 10
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 2 242527093 10
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 1 239843152 10
BENCH1444_8000 4 '2111' '1222' 0 malardalenbsort100 0 338697274 10
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 3 239232592 11
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 1 239509406 11
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 2 242099173 11
BENCH1444_8000 4 '2111' '1222' 0 malardalenbsort100 0 337685499 11
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 3 239036441 12
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 2 242139027 12
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 1 239373462 12
BENCH1444_8000 4 '2111' '1222' 0 malardalenbsort100 0 336286301 12
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 3 239121094 13
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 1 239396738 13
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 2 242137505 13
BENCH1444_8000 4 '2111' '1222' 0 malardalenbsort100 0 338465708 13
BENCH1444_8000 4 '2111' '1222' 0 lineararraywrite 3 238956698 14
