label cores config_series config_benchmarks offset benchmark core cycles iteration
BENCH1444_2000 4 '2111' '1222' 0 malardalenbsort100 0 20986644 1
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 3 246017593 1
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 2 249504565 1
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 1 246204810 1
BENCH1444_2000 4 '2111' '1222' 0 malardalenbsort100 0 21099359 2
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 1 246252242 2
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 3 245961350 2
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 2 249510788 2
BENCH1444_2000 4 '2111' '1222' 0 malardalenbsort100 0 20885634 3
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 3 245614640 3
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 1 246100778 3
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 2 249631022 3
BENCH1444_2000 4 '2111' '1222' 0 malardalenbsort100 0 21013512 4
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 3 245874276 4
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 2 249698145 4
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 1 246323910 4
BENCH1444_2000 4 '2111' '1222' 0 malardalenbsort100 0 21083899 5
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 1 245861409 5
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 2 249354554 5
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 3 245700204 5
BENCH1444_2000 4 '2111' '1222' 0 malardalenbsort100 0 20961416 6
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 1 242918418 6
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 3 244491971 6
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 2 247783318 6
BENCH1444_2000 4 '2111' '1222' 0 malardalenbsort100 0 20886974 7
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 3 246198755 7
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 2 249686583 7
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 1 246386374 7
BENCH1444_2000 4 '2111' '1222' 0 malardalenbsort100 0 21017869 8
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 1 245988589 8
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 2 249500034 8
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 3 246008289 8
BENCH1444_2000 4 '2111' '1222' 0 malardalenbsort100 0 20844127 9
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 3 245352379 9
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 2 249642087 9
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 1 246485610 9
BENCH1444_2000 4 '2111' '1222' 0 malardalenbsort100 0 20997638 10
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 3 245698456 10
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 1 246153143 10
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 2 249314312 10
BENCH1444_2000 4 '2111' '1222' 0 malardalenbsort100 0 21093101 11
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 3 246177722 11
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 2 249817853 11
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 1 246473802 11
BENCH1444_2000 4 '2111' '1222' 0 malardalenbsort100 0 21072580 12
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 3 245774352 12
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 1 246214666 12
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 2 249394924 12
BENCH1444_2000 4 '2111' '1222' 0 malardalenbsort100 0 21022583 13
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 3 246370378 13
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 2 249706009 13
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 1 246425578 13
BENCH1444_2000 4 '2111' '1222' 0 malardalenbsort100 0 20922828 14
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 3 246196799 14
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 2 249758061 14
BENCH1444_2000 4 '2111' '1222' 0 lineararraywrite 1 246516919 14
