label cores config_series config_benchmarks offset benchmark core cycles iteration
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 20974668 1
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 21093432 2
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 20880835 3
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 21008392 4
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 21077860 5
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 20950460 6
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 20883195 7
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 21013913 8
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 20838750 9
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 20994351 10
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 21084422 11
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 21033191 12
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 21014399 13
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 20918521 14
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 21015035 15
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 21088951 16
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 20983221 17
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 21008199 18
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 20984223 19
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 20828279 20
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 20912878 21
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 21073509 22
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 21042875 23
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 20947193 24
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 21124032 25
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 20826950 26
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 21015644 27
BENCH1_2000 1 '2' '1' 0 malardalenbsort100 0 21018346 28
